"","Silicates","Phyllosilicates","Cassiterite","Iron Oxides","other Sulfides","Carbonates","Fluorite","Others","Chalcopyrite","Sphalerite","Arsenopyrite","Tourmaline (Schorl-Dravite_Na-Mg)"
"Zincite (lo  S-Fe)",0,0,0,0,0,0,0,1,0,0,0,0
"Spinel (Hercynite-Gahnite_Zn-Fe)",0,0,0,0,0,0,0,1,0,0,0,0
"Hydroxylapatite",0,0,0,0,0,0,0,1,0,0,0,0
"Anhydrite/Gypsum",0,0,0,0,0,0,0,1,0,0,0,0
"Scheelite",0,0,0,0,0,0,0,1,0,0,0,0
"Native Arsenic",0,0,0,0,0,0,0,1,0,0,0,0
"Wittichenite",0,0,0,0,0,0,0,1,0,0,0,0
"Unknown",0,0,0,0,0,0,0,1,0,0,0,0
"No_XRay",0,0,0,0,0,0,0,1,0,0,0,0
"Low_Counts",0,0,0,0,0,0,0,1,0,0,0,0
"Chalcopyrite",0,0,0,0,0,0,0,0,1,0,0,0
"In-Sphalerite 1 (lo In)",0,0,0,0,0,0,0,0,0,1,0,0
"In-Sphalerite 2 (hi In)",0,0,0,0,0,0,0,0,0,1,0,0
"Sphalerite",0,0,0,0,0,0,0,0,0,1,0,0
"Arsenopyrite (lo Ni-Co)",0,0,0,0,0,0,0,0,0,0,1,0
"Tourmaline (Schorl-Dravite_Na-Mg).1",0,0,0,0,0,0,0,0,0,0,0,1
"Mn-Silicate",1,0,0,0,0,0,0,0,0,0,0,0
